Time (s),GSR Value
0.0012469291687011719,1892
0.13094282150268555,1878
0.23465895652770996,2113
0.33832597732543945,1999
0.4419670104980469,1792
0.5457248687744141,1836
0.6492519378662109,1844
0.7532868385314941,1842
0.8576161861419678,1844
0.9614219665527344,1833
1.0656838417053223,1827
1.1694440841674805,1820
1.273658037185669,1816
1.3779418468475342,1811
1.4818408489227295,1804
1.5862469673156738,1801
1.5862689018249512,1805
1.6905100345611572,1793
1.8980939388275146,2059
2.002340078353882,1920
2.105828046798706,1702
2.210191011428833,1744
2.3141098022460938,1784
2.4178600311279297,1802
2.5214579105377197,1798
2.625849962234497,1802
2.7303647994995117,1797
2.834416151046753,1797
2.938662052154541,1797
3.042672872543335,1792
3.1466169357299805,1804
3.2511138916015625,1812
3.25113582611084,1886
3.35556697845459,1946
3.563037872314453,2192
3.6668851375579834,2014
3.7705788612365723,1796
3.874055862426758,1825
3.977776050567627,1825
4.081285715103149,1829
4.185200929641724,1829
4.289072751998901,1814
4.439043045043945,1795
4.439064025878906,1810
4.543607950210571,1796
4.648010969161987,1794
4.753056049346924,1784
4.857562065124512,1787
4.961136817932129,1779
5.064581871032715,1777
5.168747901916504,2015
5.377026081085205,1891
5.480709791183472,1682
5.480731725692749,1728
5.585157155990601,1742
5.689111948013306,1749
5.793608903884888,1748
5.89795708656311,1743
6.002259969711304,1741
6.105772018432617,1739
6.210119962692261,1752
6.3141748905181885,1787
6.4185309410095215,1804
6.5225348472595215,1806
6.627047777175903,1789
6.7312538623809814,1803
6.835214138031006,2015
7.043625831604004,1910
7.043649911880493,1698
7.14789080619812,1734
7.252207040786743,1747
7.3557281494140625,1737
7.459369897842407,1735
7.563759088516235,1723
7.6680498123168945,1738
7.772511005401611,1734
7.877019166946411,1733
7.981205940246582,1736
8.085578918457031,1733
8.189007043838501,1733
8.29352593421936,1739
8.397367000579834,1734
8.501934051513672,1979
8.710309028625488,1869
8.71033501625061,1664
8.814576864242554,1704
8.918907880783081,1717
9.022454977035522,1725
9.126921892166138,1725
9.231175899505615,1723
9.33562183380127,1725
9.440009832382202,1725
9.544642925262451,1723
9.649131059646606,1722
9.75359582901001,1719
9.85808777809143,1727
9.962598085403442,1719
10.067154884338379,1717
10.171485900878906,1942
10.276262760162354,1860
10.38057279586792,1640
10.484390020370483,1691
10.588705062866211,1711
10.692944765090942,1719
10.797291994094849,1712
10.901695013046265,1704
11.005512952804565,1701
11.109363794326782,1702
11.213724851608276,1697
11.318153858184814,1699
11.422245979309082,1697
11.526499032974243,1697
11.630573034286499,1692
11.735015869140625,1695
11.838856935501099,1928
11.943275928497314,1847
12.047241926193237,1635
12.151633977890015,1668
12.25556993484497,1688
12.359995126724243,1690
12.463855981826782,1698
12.568186044692993,1684
12.672133922576904,1694
12.776543855667114,1686
12.880584955215454,1698
12.985077857971191,1684
13.088709115982056,1677
13.192897081375122,1685
13.297247886657715,1686
13.40176796913147,1679
13.505435943603516,1902
13.609878063201904,1821
13.713835954666138,1610
13.81808090209961,1644
13.922140836715698,1668
14.02662706375122,1676
14.130428791046143,1676
14.234025001525879,1673
14.338334798812866,1681
14.442769765853882,1677
