Time (s),GSR Value
0.0679330825805664,1747
0.17290902137756348,1506
0.27745723724365234,1532
0.41593003273010254,1834
0.51951003074646,1779
0.6229212284088135,1491
0.7478241920471191,1524
0.8518712520599365,1864
0.9557421207427979,1746
1.0592639446258545,1468
1.1630792617797852,1513
1.2674059867858887,1832
1.3987910747528076,1717
1.5019869804382324,1450
1.605478048324585,1490
1.731844186782837,1838
1.8358030319213867,1728
1.9394071102142334,1441
2.0427942276000977,1491
2.2501742839813232,1821
2.418558120727539,1697
2.418581962585449,1439
2.522494077682495,1482
2.62709903717041,1803
2.836186170578003,1705
2.9401051998138428,1433
3.0445549488067627,1485
3.149076223373413,1827
3.2534830570220947,1695
3.3579061031341553,1432
3.462186098098755,1468
3.566516876220703,1792
3.7758431434631348,1689
3.8803529739379883,1413
3.9857289791107178,1449
4.090223073959351,1764
4.194849967956543,1688
4.299159049987793,1402
4.4036478996276855,1446
4.508272171020508,1798
4.716710090637207,1672
4.820854902267456,1393
4.925647020339966,1435
5.029711008071899,1780
5.133380174636841,1663
5.237851142883301,1392
5.341510057449341,1437
5.446003198623657,1758
5.654752969741821,1671
5.75911021232605,1397
5.759132146835327,1439
5.967621088027954,1779
6.071357250213623,1656
6.175619125366211,1399
6.27991509437561,1444
6.383681058883667,1789
6.48807430267334,1690
6.592450141906738,1405
6.696367025375366,1450
6.904853105545044,1785
7.008860111236572,1698
7.113128185272217,1414
7.217597246170044,1460
7.321388006210327,1769
7.425441026687622,1695
7.529754161834717,1423
7.634075164794922,1463
7.738069295883179,1800
7.946326017379761,1699
8.050234079360962,1422
8.154558181762695,1464
8.258463859558105,1799
8.362860918045044,1692
8.467166185379028,1425
8.571444988250732,1468
8.675654172897339,1803
8.884119033813477,1694
8.9880850315094,1423
9.092081069946289,1460
9.196510076522827,1812
9.301019191741943,1696
9.404781103134155,1430
9.508301973342896,1472
9.612399101257324,1783
9.821165084838867,1672
9.925567150115967,1429
10.029791116714478,1477
10.133388996124268,1830
10.237864255905151,1697
10.342244148254395,1440
10.446452856063843,1476
10.550791025161743,1810
