Time (s),GSR Value
0.1104581356048584,90
0.11047625541687012,86
0.21459507942199707,89
0.31894421577453613,82
0.4229891300201416,84
0.5273799896240234,470
0.73480224609375,340
0.8391401767730713,64
0.9437031745910645,67
1.0478930473327637,75
1.1518352031707764,74
1.256256103515625,72
1.256277084350586,69
1.360835075378418,73
1.4645392894744873,75
1.5688471794128418,75
1.6728770732879639,67
1.7771451473236084,69
1.8812570571899414,82
1.9858832359313965,66
2.089520215988159,63
2.1938083171844482,454
2.402414083480835,321
2.506230115890503,52
2.6108500957489014,54
2.7144641876220703,53
2.8188040256500244,58
2.9228391647338867,56
2.9228570461273193,48
3.0273921489715576,60
3.131188154220581,56
3.2357711791992188,49
3.33961820602417,55
3.444063186645508,55
3.5478012561798096,43
3.652142286300659,46
3.7561731338500977,43
3.8607633113861084,389
4.068918228149414,293
4.172883033752441,26
4.277422189712524,25
4.381124258041382,28
4.485528230667114,28
4.485546112060547,29
4.589466333389282,26
4.693838119506836,22
4.797786235809326,29
4.902302980422974,26
5.006160259246826,24
5.110814094543457,23
5.214950323104858,22
5.319314956665039,20
5.423774003982544,26
5.528361082077026,413
5.736034154891968,284
5.83948016166687,16
5.943949222564697,17
6.048269271850586,21
6.152669191360474,24
6.152689218521118,23
6.256123304367065,25
6.360806226730347,27
6.464951038360596,27
6.569333076477051,32
6.6737143993377686,26
6.778061151504517,31
6.882245302200317,43
6.9865782260894775,34
7.09122109413147,27
7.195816993713379,386
7.404046297073364,271
7.508571147918701,21
7.613180160522461,29
7.717494249343872,30
7.717511177062988,32
7.821970224380493,36
7.926436185836792,34
8.030899047851562,35
8.135647058486938,35
8.239402055740356,33
8.34388518333435,38
8.447582006454468,31
8.552102327346802,35
8.65608024597168,38
8.760660171508789,38
8.864352226257324,385
9.072808980941772,295
9.177343130111694,27
9.281540155410767,30
9.281559228897095,36
9.386123180389404,34
9.490608215332031,38
9.595142364501953,32
9.699673175811768,40
9.80396819114685,42
9.908783197402954,40
10.013414144515991,44
10.117846012115479,44
10.222162961959839,37
10.326916217803955,46
10.430957078933716,48
10.535544157028198,417
10.74354100227356,279
10.847527265548706,36
10.847544193267822,41
10.9519522190094,52
11.055959224700928,53
11.16042423248291,44
11.264198303222656,43
11.3685462474823,47
11.472561359405518,45
11.576886177062988,52
11.680819988250732,45
11.785157203674316,49
11.889201164245605,48
11.993553161621094,47
12.09751296043396,50
12.201887130737305,426
12.40966510772705,301
12.513912200927734,35
12.513930082321167,48
12.618375301361084,53
12.722507238388062,55
12.826909303665161,49
12.930850267410278,55
13.035218954086304,53
13.139153242111206,52
13.243497133255005,49
13.347482204437256,50
13.451940298080444,53
13.555811166763306,45
13.660078287124634,55
13.764120101928711,61
13.86846113204956,431
14.076734066009521,292
14.076751232147217,45
14.180735111236572,49
14.285006284713745,50
14.389124155044556,52
14.49349308013916,58
14.597390174865723,43
14.701751232147217,57
14.805773258209229,57
14.910194396972656,63
15.014063119888306,57
15.118388175964355,59
15.22242522239685,62
15.326855182647705,59
15.430779218673706,53
15.53511118888855,436
15.743348121643066,314
15.743366241455078,57
15.847401142120361,58
15.95173716545105,63
16.05573034286499,58
16.1596360206604,66
16.26392412185669,63
16.368322134017944,65
16.47238516807556,71
16.576850175857544,75
16.68067717552185,68
16.7850341796875,69
16.889040231704712,69
16.9931583404541,67
17.097320318222046,72
17.20162010192871,426
17.41014814376831,341
17.410170316696167,62
17.514058113098145,68
17.61859631538391,66
17.722283124923706,76
17.8264741897583,70
17.930577278137207,76
18.034929275512695,66
18.138955116271973,76
18.24322509765625,84
18.347488164901733,78
18.452035188674927,79
18.555711030960083,83
18.660130262374878,75
18.76404118537903,86
18.868508338928223,449
18.972366094589233,310
19.076868295669556,65
19.180716037750244,74
19.28517198562622,76
19.389049291610718,71
19.493690252304077,82
19.597376108169556,78
19.701895236968994,77
19.805671215057373,87
19.910190105438232,74
20.013976097106934,86
20.118511199951172,83
20.222326040267944,87
20.326796054840088,88
20.430584192276,81
20.53498339653015,424
20.638983249664307,311
20.74347710609436,75
20.847281217575073,84
20.951805353164673,81
21.05563497543335,87
21.160099267959595,83
21.263992071151733,96
21.368549346923828,89
21.47230315208435,91
21.57673406600952,91
21.680540323257446,93
21.784853219985962,95
21.889024019241333,96
21.993666172027588,91
22.09718918800354,97
22.201561212539673,436
22.305543184280396,342
22.409945249557495,82
22.513923168182373,93
22.618560075759888,95
22.72228217124939,93
22.8268780708313,96
22.930463075637817,100
23.034780263900757,99
23.13882613182068,102
23.24268126487732,107
23.347089290618896,104
23.45178508758545,99
23.5555682182312,105
23.6601243019104,105
23.763859033584595,108
23.86829900741577,456
23.97221302986145,345
24.07683515548706,94
24.180565118789673,107
24.285078048706055,107
24.38887619972229,106
24.493436336517334,110
24.597225189208984,107
24.701725959777832,109
24.805516242980957,108
24.909942150115967,110
25.013721227645874,108
25.118093252182007,110
25.22217607498169,116
25.326791286468506,115
25.430488109588623,113
25.53492307662964,463
25.63875412940979,347
25.743113040924072,94
25.847047328948975,109
25.95165705680847,112
26.055350065231323,112
26.159544229507446,113
26.26363229751587,119
26.367961168289185,117
26.47224521636963,111
26.577044010162354,116
26.68155336380005,115
26.786102056503296,118
26.889816284179688,124
26.994417190551758,119
27.098817110061646,124
