Time (s),GSR Value
0.06321382522583008,937
0.06323695182800293,974
0.16807103157043457,937
0.27257609367370605,981
0.3772261142730713,881
0.48162388801574707,891
0.5861599445343018,890
0.690601110458374,958
0.7949049472808838,952
0.8992841243743896,883
1.0036919116973877,1153
1.1076979637145996,875
1.2122199535369873,1026
1.3167409896850586,1015
1.4212579727172852,878
1.5255451202392578,1042
1.6297681331634521,877
1.7333250045776367,934
1.8384239673614502,881
1.9427669048309326,967
2.047149896621704,888
2.1515579223632812,952
2.25539493560791,884
2.3600339889526367,956
2.4645299911499023,955
2.5692529678344727,995
2.673785924911499,881
2.778380870819092,1088
2.882755994796753,992
2.9872889518737793,1036
3.0916690826416016,924
3.1963610649108887,924
3.1963820457458496,876
3.3000311851501465,881
3.403946876525879,887
3.5083119869232178,886
3.6128969192504883,886
3.716662883758545,963
3.8212697505950928,873
3.9250478744506836,1025
4.029629945755005,1055
4.133285045623779,847
4.237685918807983,931
4.34155797958374,951
4.445828914642334,1068
4.549976825714111,953
4.654667854309082,915
4.758218765258789,850
4.862698793411255,857
4.966637849807739,856
5.07122015953064,854
5.175413131713867,853
5.279782056808472,848
5.383201837539673,854
5.487566947937012,848
5.591585874557495,1115
5.69572377204895,822
5.799968957901001,1092
5.904585123062134,819
6.008239030838013,866
6.112700939178467,1037
6.216594934463501,902
6.321084976196289,877
6.424793004989624,827
6.4248127937316895,825
6.529152870178223,837
6.633172988891602,839
6.737645864486694,834
6.842010021209717,837
6.945422887802124,837
7.049890995025635,933
7.154500961303711,907
7.258680820465088,956
7.363178968429565,1017
7.4677300453186035,816
7.572245121002197,1022
7.676746129989624,822
7.781355857849121,960
7.88585090637207,883
7.9904279708862305,827
8.095070123672485,827
8.199663877487183,841
8.303690910339355,837
8.408127069473267,836
8.512667894363403,842
8.616467952728271,939
8.720871925354004,881
8.82477879524231,945
8.929247856140137,874
9.033168077468872,886
9.13773798942566,830
9.137763977050781,1004
9.345427989959717,899
9.449724912643433,993
9.449746131896973,822
9.55435299873352,899
9.658676147460938,833
9.763209104537964,827
9.867488861083984,839
9.972131967544556,918
10.07667589187622,940
10.181132793426514,861
10.285642147064209,883
10.390233039855957,832
10.49462103843689,904
10.598917007446289,893
10.703217029571533,916
10.807378053665161,824
10.91188383102417,883
11.016366958618164,896
11.12076711654663,945
11.224634885787964,877
11.329047918319702,826
11.433111906051636,921
11.537650108337402,833
11.641363143920898,968
11.745342016220093,827
11.849694013595581,905
11.954122066497803,831
12.058037042617798,839
12.162503004074097,906
12.266388177871704,948
12.37092399597168,898
12.47475290298462,821
12.579313039779663,825
12.683050155639648,835
12.787615060806274,1061
12.891375064849854,895
12.891398906707764,951
12.99593997001648,859
13.09971284866333,921
13.204216003417969,826
13.308003902435303,874
13.412413120269775,825
13.516305923461914,829
13.620650053024292,827
13.724577903747559,1002
13.829031944274902,979
13.933023929595947,806
14.03758192062378,818
14.141316890716553,820
14.245866060256958,902
14.349585056304932,814
14.453933000564575,971
14.557939052581787,915
14.662506818771362,952
14.766327857971191,783
14.87108588218689,864
14.975548028945923,796
15.07988691329956,810
15.183966159820557,803
15.288451910018921,889
15.392946004867554,891
15.49751091003418,854
15.601941108703613,790
15.706348896026611,886
15.810691833496094,787
15.915079116821289,828
16.01945209503174,797
16.123990774154663,921
16.228593111038208,903
16.33290696144104,1054
16.332938194274902,1006
16.437376022338867,877
16.541259765625,787
16.645883083343506,797
16.75058388710022,971
16.85511589050293,785
16.9595627784729,1027
17.064000844955444,881
17.1685049533844,857
17.27282190322876,839
17.377284049987793,800
17.4816951751709,803
17.58638906478882,805
17.69066309928894,998
17.7950119972229,886
17.899545907974243,1023
18.00412607192993,780
18.10783100128174,886
18.212053775787354,792
18.31619381904602,1025
18.420087814331055,783
18.524512767791748,984
18.628945112228394,861
18.732781887054443,825
18.837274074554443,865
18.941161155700684,791
19.04583477973938,794
19.14942193031311,795
19.25396704673767,955
19.25398898124695,787
19.35781478881836,1074
19.4623761177063,768
19.566155910491943,858
19.67073082923889,788
19.77501893043518,789
19.879579067230225,1057
19.983808040618896,847
20.088310956954956,907
20.19280195236206,842
20.297286987304688,786
20.401814937591553,844
20.50683093070984,786
20.611414909362793,787
20.71604585647583,944
20.820544004440308,771
20.92429494857788,851
21.028614044189453,774
21.132699012756348,884
21.237269163131714,854
21.3410861492157,880
21.44571614265442,865
21.54940891265869,817
21.65410280227661,839
21.757614850997925,862
21.86195707321167,776
21.966112852096558,907
22.070515155792236,863
22.17438507080078,777
22.278873920440674,913
22.382757902145386,779
22.48724603652954,846
22.487271070480347,784
22.590991973876953,786
22.695626735687256,1055
22.799410104751587,776
22.903339862823486,1089
23.007675886154175,762
23.112258911132812,832
23.215955018997192,783
23.320356845855713,783
23.424216985702515,784
23.528641939163208,946
23.63260507583618,776
23.73707413673401,1060
23.840975046157837,767
23.944864749908447,857
24.049312829971313,780
24.153972148895264,854
24.257683992385864,780
24.362170934677124,825
24.465896129608154,868
24.570340871810913,934
24.674246072769165,855
24.778775930404663,771
24.88263988494873,785
24.987205982208252,778
25.09095311164856,803
25.195559978485107,889
25.29921007156372,886
25.403523921966553,942
25.50747513771057,916
25.611692905426025,862
25.71583914756775,777
25.820130825042725,819
25.82015085220337,792
25.924109935760498,789
26.028332948684692,1011
26.13155484199524,848
26.235996961593628,837
26.34045100212097,774
26.444843769073486,789
26.54924201965332,789
26.653048992156982,791
26.757012128829956,989
26.861489057540894,770
26.965930938720703,1030
27.070137977600098,872
27.174170970916748,811
27.278559923171997,852
27.38249683380127,789
27.48695683479309,795
27.590812921524048,892
27.695187091827393,838
27.79915189743042,858
27.903519868850708,782
28.007528066635132,854
28.112185955047607,790
28.21584391593933,792
28.319434881210327,901
28.42400288581848,858
28.528632879257202,930
28.632494926452637,892
28.73688316345215,781
28.841368913650513,782
28.94584584236145,870
29.0501971244812,794
29.050218105316162,933
29.154634952545166,779
29.25905704498291,852
29.36338996887207,895
29.46779990196228,779
29.57224202156067,838
29.67683482170105,783
29.7813777923584,999
29.885962963104248,784
29.99061393737793,923
30.09522008895874,865
30.19913411140442,876
30.303584814071655,795
30.407411098480225,799
30.511990785598755,807
30.615806102752686,934
30.72028613090515,860
30.82411503791809,957
30.9287588596344,827
31.032426118850708,857
31.136095762252808,953
31.24060297012329,1019
31.345242977142334,909
31.448997974395752,891
31.553131818771362,919
31.65730118751526,854
31.76178789138794,933
31.865689039230347,927
31.970142126083374,872
32.074037075042725,865
32.17863988876343,993
32.282387018203735,861
32.38599991798401,915
32.490506172180176,938
32.595008850097656,851
32.69906497001648,1017
32.803669929504395,995
32.90739297866821,1031
32.907413959503174,927
33.01192903518677,947
33.115630865097046,872
33.21988010406494,871
33.3240180015564,922
33.428565979003906,860
33.532288789749146,911
33.63689208030701,851
33.740718841552734,939
33.845292806625366,932
33.94899296760559,845
34.0535089969635,931
34.15733003616333,856
34.26194906234741,963
34.36556696891785,947
34.4700140953064,1002
34.5739529132843,965
34.67844891548157,828
34.78230690956116,845
34.88685989379883,851
34.99110412597656,941
35.09554100036621,846
35.199928998947144,918
35.304490089416504,930
35.40883111953735,911
35.513290882110596,918
35.617785930633545,839
35.7219181060791,882
35.82641005516052,861
35.93104815483093,958
36.035512924194336,847
36.14010787010193,1152
36.244800090789795,884
36.34890675544739,887
36.348928928375244,841
36.453542947769165,845
36.55717396736145,944
36.661576986312866,842
36.76550889015198,1024
36.869850873947144,998
36.9738028049469,828
37.07827806472778,880
37.18222093582153,863
37.286744832992554,858
37.39053797721863,962
37.49507284164429,850
37.59887909889221,917
37.70336699485779,859
37.807186126708984,1027
37.91165614128113,909
38.015583753585815,902
38.12010407447815,849
38.223798990249634,942
38.32827615737915,1037
38.432191133499146,903
38.536702156066895,945
38.64053702354431,843
38.744982957839966,849
38.84880089759827,850
38.953346967697144,980
39.0576868057251,845
39.16186308860779,911
39.265514850616455,846
39.370036125183105,848
39.47383904457092,980
39.57838201522827,835
39.57840609550476,970
39.682133197784424,829
39.786548137664795,1133
39.89049005508423,912
39.99504280090332,955
40.09881091117859,845
40.20327091217041,866
40.307042837142944,884
40.41149091720581,997
40.51544404029846,897
40.61983609199524,971
40.723766803741455,930
40.828197956085205,968
40.932018995285034,1006
41.03644776344299,1041
41.140299797058105,1137
41.244539976119995,1131
41.34877395629883,1088
41.452353954315186,1211
41.55693984031677,1131
41.661492109298706,1288
41.765427112579346,1135
41.8699049949646,1184
41.97419309616089,1285
42.07851791381836,1054
42.18197703361511,1042
42.28636980056763,946
42.390286922454834,928
42.494828939437866,918
42.598713874816895,925
42.70330190658569,968
42.807018756866455,1074
42.91148614883423,877
43.01541304588318,1038
43.11994791030884,949
43.223698139190674,1000
43.32822108268738,924
43.43203377723694,922
43.53649592399597,916
43.53651690483093,859
43.64034700393677,919
43.74397397041321,854
43.84833908081055,858
43.95314002037048,870
44.05893588066101,922
44.16387176513672,901
44.26848793029785,850
44.372363805770874,858
44.47693204879761,1092
44.581555128097534,965
44.68529391288757,837
44.789798974990845,907
44.89437508583069,923
44.99863886833191,996
45.10323214530945,832
45.207441091537476,974
45.31179881095886,833
45.41638684272766,850
45.52083706855774,901
45.62536597251892,889
45.729782819747925,851
45.8343608379364,842
45.93885087966919,846
46.04345679283142,928
46.14786386489868,978
46.25238299369812,911
46.35689306259155,835
46.46133899688721,899
46.56517791748047,959
46.66953086853027,902
46.77344799041748,906
46.8779559135437,822
46.981836795806885,953
47.08629894256592,879
47.19010281562805,831
47.29442811012268,833
47.39847111701965,842
47.50281596183777,837
47.60691690444946,922
47.71145582199097,904
47.81511902809143,913
47.91948986053467,825
48.023552894592285,871
48.128076791763306,995
48.23178505897522,986
48.33621788024902,820
48.440186977386475,876
48.54391098022461,868
48.648529052734375,884
48.75311493873596,817
48.8567681312561,890
48.96117305755615,827
49.065186977386475,823
49.16993284225464,921
49.27339291572571,893
49.37788391113281,814
49.3779079914093,827
49.48174500465393,1008
49.690109968185425,876
49.69013214111328,987
49.79466676712036,854
49.89845395088196,913
50.00298094749451,818
50.10676097869873,822
50.211341857910156,827
50.31510901451111,914
50.41951394081116,819
50.5234739780426,878
50.62790894508362,902
